event_id,application_id,event_name,event_time
1,1,Application Started,2026-05-31 19:51:00
2,1,Details Completed,2026-05-31 20:11:00
3,1,KYC Completed,2026-05-31 20:18:00
4,2,Application Started,2026-08-19 10:38:00
5,2,Details Completed,2026-08-19 10:53:00
6,2,KYC Completed,2026-08-19 11:23:00
7,2,Offer Viewed,2026-08-20 08:23:00
8,3,Application Started,2026-06-26 20:46:00
9,3,Details Completed,2026-06-26 20:57:00
10,3,KYC Completed,2026-06-26 21:31:00
11,4,Application Started,2026-03-27 19:46:00
12,4,Details Completed,2026-03-27 20:02:00
13,4,KYC Completed,2026-03-27 20:13:00
14,4,Offer Viewed,2026-03-28 04:13:00
15,5,Application Started,2026-06-04 10:04:00
16,5,Details Completed,2026-06-04 10:17:00
17,5,KYC Completed,2026-06-04 10:37:00
18,5,Offer Viewed,2026-06-04 12:37:00
19,5,Offer Accepted,2026-06-04 13:21:00
20,5,Loan Disbursed,2026-06-04 15:21:00
21,6,Application Started,2026-06-14 18:35:00
22,6,Details Completed,2026-06-14 18:45:00
23,6,KYC Completed,2026-06-14 19:25:00
24,6,Offer Viewed,2026-06-15 17:25:00
25,6,Offer Accepted,2026-06-15 19:22:00
26,6,Loan Disbursed,2026-06-16 21:22:00
27,7,Application Started,2026-05-17 11:26:00
28,7,Details Completed,2026-05-17 11:36:00
29,7,KYC Completed,2026-05-17 11:46:00
30,7,Offer Viewed,2026-05-18 10:46:00
31,7,Offer Accepted,2026-05-18 11:22:00
32,7,Loan Disbursed,2026-05-20 03:22:00
33,8,Application Started,2026-07-25 17:45:00
34,8,Details Completed,2026-07-25 18:03:00
35,8,KYC Completed,2026-07-25 18:19:00
36,8,Offer Viewed,2026-07-25 19:19:00
37,8,Offer Accepted,2026-07-25 19:34:00
38,8,Loan Disbursed,2026-07-27 18:34:00
39,9,Application Started,2026-03-05 08:29:00
40,9,Details Completed,2026-03-05 08:39:00
41,9,KYC Completed,2026-03-05 09:07:00
42,10,Application Started,2026-07-10 13:06:00
43,10,Details Completed,2026-07-10 13:23:00
44,10,KYC Completed,2026-07-10 13:51:00
45,10,Offer Viewed,2026-07-10 17:51:00
