application_id,user_id,application_date,loan_amount,tenure_months,status
1,943,2026-05-31,150000,48,Rejected
2,1826,2026-08-19,300000,12,Approved
3,4364,2026-06-26,50000,60,Rejected
4,2374,2026-03-27,100000,60,Approved
5,1942,2026-06-04,150000,48,Disbursed
6,4038,2026-06-14,200000,60,Disbursed
7,4492,2026-05-17,100000,48,Disbursed
8,4712,2026-07-25,500000,60,Disbursed
9,2487,2026-03-05,50000,48,Rejected
10,1496,2026-07-10,750000,60,Approved
11,4182,2026-08-27,100000,60,Disbursed
12,1307,2026-05-22,1000000,24,Rejected
13,3840,2026-08-08,750000,60,Disbursed
14,3190,2026-06-02,200000,12,Rejected
15,2144,2026-03-07,500000,36,Rejected
16,4858,2026-02-15,250000,36,Incomplete
17,373,2026-07-20,500000,48,KYC Pending
18,503,2026-05-13,100000,48,Disbursed
19,3439,2026-04-07,200000,48,Approved
20,616,2026-04-11,200000,48,Disbursed
21,752,2026-07-20,100000,36,Rejected
22,1026,2026-03-02,500000,12,Approved
23,1560,2026-08-05,1000000,12,Disbursed
24,4922,2026-08-31,1000000,48,Incomplete
25,3963,2026-02-21,300000,48,Rejected
26,4744,2026-04-05,1000000,48,KYC Pending
27,4624,2026-01-17,100000,48,Disbursed
28,4273,2026-04-28,400000,12,Disbursed
29,917,2026-02-25,300000,48,Disbursed
30,1938,2026-03-20,200000,60,Disbursed
31,836,2026-03-27,400000,48,Rejected
32,3396,2026-05-01,200000,48,Disbursed
33,1352,2026-03-17,50000,24,Disbursed
34,2536,2026-07-08,1000000,60,Rejected
35,2920,2026-07-30,1000000,24,Disbursed
36,2571,2026-06-29,250000,48,KYC Pending
37,98,2026-04-24,200000,48,Approved
38,412,2026-08-23,250000,36,Disbursed
39,2642,2026-06-22,50000,60,KYC Pending
40,1194,2026-03-10,750000,48,Rejected
41,2680,2026-07-13,500000,24,Incomplete
42,4430,2026-06-18,400000,48,Disbursed
43,552,2026-08-15,200000,36,Incomplete
44,3894,2026-06-27,150000,24,Rejected
45,3219,2026-07-10,50000,48,Rejected
46,2676,2026-01-31,750000,12,Rejected
47,1266,2026-03-20,150000,12,Disbursed
48,4764,2026-05-06,100000,36,Disbursed
49,4974,2026-03-01,50000,36,Disbursed
50,941,2026-04-01,100000,12,Rejected
51,4355,2026-04-22,150000,12,Disbursed
52,1973,2026-07-16,200000,60,KYC Pending
53,3995,2026-04-12,750000,24,Disbursed
54,1693,2026-03-11,150000,60,Disbursed
55,4722,2026-08-21,100000,60,Disbursed
56,4477,2026-08-16,150000,48,Disbursed
57,4911,2026-08-31,750000,60,Disbursed
58,886,2026-05-05,300000,24,Approved
59,2649,2026-06-09,200000,12,Approved
60,4678,2026-03-09,400000,48,Disbursed
61,976,2026-06-24,400000,60,Incomplete
62,4171,2026-06-18,500000,12,Incomplete
63,4772,2026-01-25,750000,36,Incomplete
64,1030,2026-04-04,100000,36,Incomplete
65,4768,2026-05-29,400000,36,Rejected
66,1263,2026-06-08,100000,48,Rejected
67,261,2026-02-26,1000000,48,Rejected
68,3875,2026-06-05,400000,60,Rejected
69,230,2026-08-26,400000,12,Disbursed
70,4891,2026-07-30,750000,36,KYC Pending
71,425,2026-06-24,750000,12,Rejected
72,53,2026-04-08,750000,12,Rejected
73,307,2026-07-14,50000,12,Rejected
74,1987,2026-04-28,200000,12,KYC Pending
75,119,2026-03-13,500000,48,Disbursed
76,1679,2026-01-17,250000,36,Rejected
77,3959,2026-06-19,200000,24,Disbursed
78,664,2026-02-09,200000,12,Approved
79,4333,2026-05-14,200000,48,Rejected
80,3941,2026-03-21,500000,48,Rejected
81,3184,2026-03-15,750000,36,Rejected
82,3916,2026-07-13,200000,48,Rejected
83,1872,2026-07-08,500000,48,Disbursed
84,351,2026-03-24,1000000,60,Rejected
85,2848,2026-08-07,300000,48,Approved
86,462,2026-05-25,400000,36,Incomplete
87,1840,2026-03-14,150000,48,KYC Pending
88,1417,2026-05-06,250000,48,Incomplete
89,3143,2026-06-12,100000,12,KYC Pending
90,3952,2026-02-13,100000,60,KYC Pending
91,2908,2026-05-21,100000,60,Rejected
92,2050,2026-07-05,400000,48,Disbursed
93,2110,2026-07-26,1000000,48,Rejected
94,2976,2026-07-18,300000,24,Disbursed
95,1616,2026-02-14,1000000,24,Incomplete
96,3388,2026-07-16,300000,36,Disbursed
97,4967,2026-03-06,400000,12,Approved
98,396,2026-05-09,150000,36,Disbursed
99,4619,2026-03-15,200000,60,KYC Pending
100,985,2026-02-24,400000,48,Approved
101,485,2026-05-16,750000,24,Rejected
102,4164,2026-08-14,100000,36,Disbursed
103,4112,2026-06-25,50000,60,KYC Pending
104,188,2026-02-20,400000,36,Rejected
105,1403,2026-04-03,200000,60,Disbursed
106,1569,2026-07-06,100000,36,Approved
107,1151,2026-04-17,500000,24,Approved
108,4554,2026-04-08,100000,12,Rejected
109,287,2026-03-08,300000,24,Disbursed
110,1784,2026-01-20,1000000,48,Rejected
111,3796,2026-02-16,400000,24,Rejected
112,1211,2026-02-14,1000000,60,Approved
113,2280,2026-02-24,50000,48,KYC Pending
114,2809,2026-03-10,1000000,12,Rejected
115,3285,2026-06-13,100000,48,KYC Pending
116,4649,2026-06-07,100000,48,Rejected
117,167,2026-06-11,400000,24,Rejected
118,2849,2026-03-05,300000,60,Disbursed
119,4171,2026-05-12,500000,36,Rejected
120,1398,2026-01-24,150000,60,KYC Pending
121,2417,2026-05-11,300000,60,KYC Pending
122,460,2026-08-28,400000,12,Approved
123,694,2026-05-08,500000,36,Disbursed
124,2836,2026-02-15,400000,36,Disbursed
125,1538,2026-04-28,500000,48,Disbursed
126,650,2026-08-09,50000,12,Rejected
127,110,2026-01-31,1000000,36,Disbursed
128,4115,2026-03-10,750000,60,Approved
129,1538,2026-04-03,250000,48,Disbursed
130,1032,2026-07-02,200000,12,Disbursed
131,2460,2026-04-04,750000,48,Approved
132,3485,2026-03-18,150000,24,KYC Pending
133,1342,2026-04-17,750000,24,Rejected
134,1704,2026-04-25,750000,36,Disbursed
135,2914,2026-05-27,250000,60,Disbursed
136,1017,2026-08-31,300000,60,Incomplete
137,732,2026-07-08,1000000,48,Rejected
138,4572,2026-05-13,750000,48,Incomplete
139,3567,2026-05-01,400000,48,Disbursed
140,1527,2026-06-26,300000,48,Disbursed
141,3288,2026-08-02,750000,24,Rejected
142,3095,2026-03-15,1000000,48,Approved
143,3205,2026-02-23,250000,60,Rejected
144,3448,2026-07-26,50000,12,Disbursed
145,2497,2026-03-23,500000,24,Disbursed
146,2962,2026-08-02,200000,60,Rejected
147,3956,2026-02-09,150000,48,Disbursed
148,1426,2026-03-24,400000,48,Approved
149,1868,2026-06-23,300000,24,Approved
150,4850,2026-05-14,150000,48,Incomplete
151,2504,2026-07-10,400000,48,Rejected
152,4847,2026-03-30,500000,36,Disbursed
153,4593,2026-05-06,250000,12,Disbursed
154,1974,2026-01-31,750000,36,Disbursed
155,3601,2026-05-21,250000,60,Disbursed
156,1454,2026-05-07,1000000,24,Disbursed
157,2746,2026-03-03,1000000,48,Incomplete
158,2169,2026-07-20,50000,12,Rejected
159,1746,2026-07-28,250000,24,Approved
160,3669,2026-05-03,750000,36,Disbursed
161,2029,2026-05-30,1000000,36,Approved
162,1398,2026-03-01,1000000,36,Disbursed
163,4592,2026-05-24,100000,24,Disbursed
164,3838,2026-05-26,100000,36,Rejected
165,2748,2026-01-18,750000,36,Disbursed
166,3479,2026-03-26,50000,24,Disbursed
167,4841,2026-05-31,400000,48,Rejected
168,3412,2026-06-12,750000,36,Rejected
169,2236,2026-04-04,750000,60,Rejected
170,1581,2026-07-14,200000,36,Disbursed
171,62,2026-03-27,200000,24,Disbursed
172,3782,2026-03-04,250000,60,Approved
173,3209,2026-08-04,750000,12,Rejected
174,2355,2026-06-23,300000,48,KYC Pending
175,821,2026-05-03,150000,36,Disbursed
176,4977,2026-03-11,400000,60,KYC Pending
177,3974,2026-07-09,100000,36,Rejected
178,3509,2026-05-15,500000,60,Incomplete
179,3090,2026-07-05,1000000,36,KYC Pending
180,3003,2026-06-17,250000,48,Disbursed
181,3519,2026-05-29,300000,12,Incomplete
182,1333,2026-03-23,750000,12,Approved
183,3748,2026-05-03,750000,36,KYC Pending
184,2579,2026-06-26,250000,48,Disbursed
185,2546,2026-02-22,500000,24,Incomplete
186,2679,2026-04-11,200000,12,Incomplete
187,778,2026-07-13,250000,48,KYC Pending
188,2547,2026-05-09,500000,48,Disbursed
189,1451,2026-08-20,150000,12,Disbursed
190,3716,2026-03-08,50000,24,Disbursed
191,8,2026-03-22,50000,36,Approved
192,4486,2026-02-27,50000,60,Approved
193,4901,2026-03-03,1000000,48,Rejected
194,3903,2026-03-09,200000,48,KYC Pending
195,641,2026-07-26,250000,24,Incomplete
196,1418,2026-05-22,1000000,24,Rejected
197,1015,2026-06-08,50000,24,Approved
198,2465,2026-04-20,200000,24,Disbursed
199,1504,2026-02-17,300000,12,Rejected
200,4548,2026-08-05,300000,12,Disbursed
201,4028,2026-08-20,1000000,48,Disbursed
202,1953,2026-01-17,300000,48,Incomplete
203,3157,2026-08-10,250000,12,Incomplete
204,4702,2026-08-16,400000,12,Incomplete
205,3022,2026-02-16,750000,24,Disbursed
206,4564,2026-03-21,500000,48,Rejected
207,2675,2026-02-22,200000,12,Approved
208,3892,2026-03-17,300000,48,Rejected
209,4275,2026-07-07,1000000,36,Incomplete
210,2481,2026-02-10,100000,60,KYC Pending
211,3589,2026-03-28,500000,12,KYC Pending
212,4310,2026-04-06,250000,48,Disbursed
213,2608,2026-04-21,500000,24,Disbursed
214,1848,2026-07-28,50000,60,Incomplete
215,64,2026-02-14,750000,36,Rejected
216,779,2026-06-26,400000,12,KYC Pending
217,2583,2026-08-19,50000,60,KYC Pending
218,1474,2026-04-20,1000000,36,Disbursed
219,3777,2026-05-12,100000,12,Disbursed
220,2818,2026-08-01,150000,36,Approved
221,3007,2026-08-12,250000,48,Disbursed
222,1726,2026-07-01,300000,24,Rejected
223,3415,2026-01-16,150000,60,Rejected
224,388,2026-03-18,250000,60,KYC Pending
225,2959,2026-03-30,200000,12,KYC Pending
226,3465,2026-02-27,150000,36,Approved
227,3445,2026-07-23,300000,12,Incomplete
228,1677,2026-08-27,750000,60,Approved
229,4460,2026-07-15,100000,24,Approved
230,4677,2026-07-20,1000000,24,Rejected
231,1523,2026-08-27,500000,24,Rejected
232,1178,2026-04-05,1000000,12,Disbursed
233,1082,2026-02-05,500000,12,Disbursed
234,4581,2026-07-02,50000,12,Disbursed
235,2316,2026-07-17,50000,36,Rejected
236,3928,2026-03-01,150000,48,Disbursed
237,1088,2026-05-29,750000,24,Approved
238,2310,2026-07-13,400000,60,Disbursed
239,2800,2026-08-07,750000,36,Disbursed
240,231,2026-03-16,150000,12,Disbursed
241,1013,2026-06-02,1000000,48,Approved
242,1353,2026-05-07,750000,36,KYC Pending
243,1983,2026-07-04,500000,12,KYC Pending
244,818,2026-08-22,300000,48,KYC Pending
245,82,2026-07-02,750000,48,Disbursed
246,4777,2026-02-19,500000,48,Incomplete
247,4627,2026-03-01,500000,48,Approved
248,1216,2026-06-25,500000,60,Approved
249,1562,2026-03-15,200000,60,Rejected
250,2636,2026-08-06,250000,60,Rejected
251,4699,2026-06-18,50000,12,Disbursed
252,4274,2026-03-10,150000,24,Approved
253,4812,2026-04-09,50000,12,Rejected
254,1499,2026-05-12,150000,48,KYC Pending
255,3129,2026-04-04,400000,60,Rejected
256,4084,2026-03-08,200000,36,Incomplete
257,3932,2026-06-16,500000,36,Disbursed
258,4335,2026-03-28,300000,24,Rejected
259,4445,2026-07-07,200000,48,Approved
260,1273,2026-06-17,400000,36,Approved
261,4361,2026-06-10,300000,36,Incomplete
262,3595,2026-06-28,250000,24,Rejected
263,1287,2026-03-10,300000,36,KYC Pending
264,587,2026-04-10,1000000,48,Rejected
265,3354,2026-08-23,300000,24,Disbursed
266,885,2026-07-24,250000,36,Incomplete
267,1016,2026-02-26,200000,12,KYC Pending
268,1846,2026-04-10,250000,48,Disbursed
